,country,description,designation,points,price,province,variety
172,Greece,"Aromas of leather, cherry and plum lead this balanced red from Boutari. Ripe cherry, cedar and cinnamon flavors carry the palate, with soft tannins giving a sultry feel.",,89,17,Nemea,Agiorgitiko
481,Greece,"Aromas of leather, cherry and plum lead this balanced red from Boutari. Ripe cherry, cedar and cinnamon flavors carry the palate, with soft tannins giving a sultry feel.",,89,17,Nemea,Agiorgitiko
1331,Greece,"Savory meat and vanilla on the nose lead into flavors of cherry, pepper and plum in this well-made, balanced red. Fresh but fruity, the wine has a wave of warming spice and a clean finish that will pair well with grilled meats, salmon and cheeses.",Anemos,88,19,Peloponnese,Agiorgitiko
5261,Greece,"Forest fruit and pepper aromas lead into flavors of blackberry, cedar and spice. Elegant and exotic, this wine is balanced with good acidity and luscious fruit.",Mythic River,87,15,Nemea,Agiorgitiko
5273,Greece,"This is a great example of a variety Americans are still learning to embrace. Plum and cherry aromas and flavors are approachable and soft, but the wine has good tannic structure which shows potential to age. This would be great with lasagna, steak or vegetarian cuisine.",Single Vineyard Selection,87,25,Nemea,Agiorgitiko
7588,Greece,"This pert, dry red has a nose of cinnamon, clove and red berries while the palate offers dried cherry, plum and pepper. A good everyday red to pair with grilled meats and cheeses.",,85,13,Nemea,Agiorgitiko
7916,Greece,"Plum, spice and red berries on the nose and palate give this wine character. The palate is dry and spicy with a focused edge.",,85,13,Nemea,Agiorgitiko
9361,Greece,"Black cherry, vanilla and plum aromas and flavors on this affordable Agiorgitiko are plucky and fresh, but the tannins are overall quite supple. The wine is not terribly complex but a good cohort to burgers and grilled meats.",Mountain Sun,84,12,Peloponnese,Agiorgitiko
10705,Greece,"Cinnamon, black cherry and spice aromas lead into cigarbox, leather, cedar and dried cherries on the palate in this balanced, integrated red. Distinctive but versatile, this is a classic wine that will pair well with lamb and beef.",Gaia Estate,91,39,Nemea,Agiorgitiko
11331,Greece,"Blackberry, cherry and cedar start this rich, elegant red from Tselepos. On the palate, rounded flavors of cedar, vanilla, black berry and spice are well integrated and juicy. The wine finishes with touches of wood and smoke.",Driopi Classic,91,22,Nemea,Agiorgitiko
15123,Greece,"Slightly horsey and leathery, but backed by black cherries and herbs. Despite its somewhat rustic aromas, it's smooth and plump in the mouth, with modern coffee and vanilla notes adding to the mix. Firmly tannic; might improve with 2–4 years of cellaring.",Agiorgitiko by Gaia,87,30,Nemea,Agiorgitiko
15148,Greece,"With its firm acids and modest tannins, tart cherries and worn leather, this is a natural burger wine—something assertive enough to pair with strong, simple flavors without being overwhelmed, yet not so complex as to demand finer fare.",St. George,85,13,Corinth,Agiorgitiko
17706,Greece,"This intriguing red starts with blackberry, cedar and earthy forest floor aromas, leading into flavors of cola, forest fruit, cedar and spice. Linear, clean and elegant, the wine is food friendly and can age. A stylish choice for myriad palates.",Private Label,88,,Nemea,Agiorgitiko
17793,Greece,"Cinnamon, spice, leather and forest fruit leads the nose of this balanced, elegant red. Tobacco and spice are wound together with a clean minerality and crisp acid. Versatile and friendly.",Mythic River,88,12,Nemea,Agiorgitiko
18572,Greece,"The nose starts with violets, vanilla, strawberry and cherry, followed by bright red fruit flavors of strawberry and cherry with an undercurrent of dark chocolate and cracked black pepper. A solid red that will pair well with grilled meats and soft cheeses.",,86,25,Peloponnese,Agiorgitiko
18877,Greece,"Aromas of fennel, flowers, nuts and red fruit give this wine an interesting start. Clean, dry and spicy with flavors of cherry, black pepper and crushed herb, it ends with a lingering finish displaying minerality and a touch of cocoa.",Reserve,85,15,Nemea,Agiorgitiko
19052,Greece,"Bright cherry and red currant aromas are followed by flavors of currant, cedar, spice and black tea in this assertive red. Clean, perky and fresh, it's a fun everyday wine that will pair well with grilled meat dishes, tomato-based pasta dishes and hard cheeses.",,84,12,Nemea,Agiorgitiko
19232,Greece,"A nose of violets, tobacco, red fruit and spice start this easygoing Agiorgitiko from Greece. Classic red fruit and spice flavors are delivered in a friendly, clean package. Pair with grilled lamb, hamburgers.",,83,17,Nemea,Agiorgitiko
28774,Greece,"Earthy aromas of mushroom and forest floor, plus cinnamon and sour cherry, are followed by vivacious cherry flavors. The wine evolves on the palate to reveal cedar, smoke and spice undertones. This is a memorable, modern style of this variety.",Agiorgitiko by Gaia,88,29,Nemea,Agiorgitiko
30938,Greece,"Cherry, blackberry and exotic spice aromas start this fresh, mineral-driven red. Plum, cherry and fennel flavors are balanced and unique. Pair this with lamb or sausage.",,88,10,Nemea,Agiorgitiko
31613,Greece,"Tart cherry and pepper aromas are followed by an earthy, masculine combination of flavors in this wine. Toasted nut, aged leather and spice box flavors speak to its native terroir. An affordable wine with good Greek character.",Saint George,87,10,Peloponnese,Agiorgitiko
32519,Greece,"Anise, cherry and a floral note on the nose give this wine an elegant start. On the palate, it offers a refined balance of smoke, cherry, kirsch and olive. It's generous and likeable but still clean and fresh, with good tannic structure. Tobacco on the finish adds character.",Driopi Classic,87,22,Nemea,Agiorgitiko
32873,Greece,"This wine has the plucky character typical of Greece, but with a polished spin. The nose is allspice, cherry and cocoa, and on the palate, dried fruits, coffee, mesquite smoke and chocolate. The wine finishes spicy and clean. Good, if not a bit aggressive. Pair with meat or hearty fare.",,85,18,Nemea,Agiorgitiko
