,country,description,designation,points,price,province,variety
459,US,"Dried cranberry and currant flavors with raisin-plum cake undertones define this light-bodied wine that's mildly tannic, tart, simple and easy to like.",,86,34,California,Aglianico
1194,Italy,"Forest floor, leather, tilled soil, ripe berry and balsam are some of the aromas you'll find in this delicious red. The smooth, dense palate delivers blackberry jam, espresso, licorice and ground pepper flavors, blanketed with soft, silky tannins. Tobacco and graphite notes linger on the finish. Drink through 2020.",,93,80,Southern Italy,Aglianico
1789,Italy,"Undergrowth, truffle, black-skinned berry and exotic spice aromas meld with balsamic notes. Rounded and chewy, the palate doles out fleshy black cherry, blackberry extract, cinnamon, licorice and chopped mint flavors, enveloped in velvety tannins. A hint of carob closes the finish. Drink through 2024.",Trezotratto,92,40,Southern Italy,Aglianico
2049,Italy,"Ripe plum, forest floor, truffle and dark spice aromas lead the nose. The delicious, enveloping palate doles out fleshy blackberry, juicy black cherry, cinnamon and licorice flavors while an earthy hint of game lends character. Firm, velvety tannins provide polished support. Drink 2018–2023.",Valle del Noce,92,45,Southern Italy,Aglianico
2581,Italy,"Spiced plum, vanilla, espresso and nutmeg aromas take center stage while the round, enveloping palate offers fleshy black cherry, raisin licorice and clove flavors. Pliant, polished tannins provide smooth support. Drink through 2020.",Tenute di Altavilla,92,,Southern Italy,Aglianico
2810,Italy,"Ripe plum, cranberry, pressed violet, tobacco and damp soil aromas lead the nose, along with a whiff of clove. The round, polished palate offers dried black cherry, prune, raspberry jam and licorice notes, alongside smooth tannins. It's already extremely approachable, so drink soon.",Gudarrà Riserva,91,40,Southern Italy,Aglianico
4607,Italy,"Earthy aromas of forest floor, grilled mushroom, red fruit and leather slowly take shape in the glass. The chewy palate offers plum, licorice, Marasca cherry and clove flavors, framed by firm, fine-grained tannins that lend a polished texture and a tight finish. Drink through 2022.",,91,35,Southern Italy,Aglianico
5039,Italy,"Vanilla, spiced plum and coconut aromas follow through to the round, concentrated palate, joining espresso, oak, fleshy raspberry and licorice notes. You'll also detect the warmth of alcohol and round supple tannins that provide gentle support. Drink through 2020.",Cevotiempo,90,30,Southern Italy,Aglianico
5837,Italy,"Red berry, rose petal and tilled earth aromas come together on this 100% Aglianico. The easygoing, enjoyable palate offers mature red berry and a hint of clove alongside mellow tannins.",Monte dei Cocci,88,19,Southern Italy,Aglianico
7478,Italy,"This wine's spiced plum, underbrush and French oak aromas waft out of the glass. The linear, ethereal palate offers prune, dried cherry and star anise flavors, set against austere, fine-grained tannins and bright acidity. It closes on an espresso note.",Cruà,89,,Southern Italy,Aglianico
8088,Italy,"This structured and delicious wine opens with aromas of tilled earth, blue flower and mature black fruit. The savory, juicy palate delivers notes of ripe plum, blackberry, Mediterranean herbs and mineral, all supported by assertive tannins. Drink 2015–2024.",Damaschito,94,33,Southern Italy,Aglianico
