,country,description,designation,points,price,province,variety
21174,Portugal,"The leg here refers to the red-legged partridge which is native to southern Portugal. The wine is certainly red enough, a blend of Aragonês and Shiraz (they use the Australian spelling). It is firm, richly tannic, attractively full of rich berry, plum and spice.",Red Leg,87,11,Alentejano,Albana
22133,Italy,"This is a beautiful and delicate dessert wine with lightly musty notes that appear in the back of candied fruit, orange zest, almond paste, stone fruit and vanilla cream. It feels light and buoyant on the close but also delivers the heft and personality you need for a pairing with aged goat cheese and apricot jelly.",Casa Lola,94,,Central Italy,Albana
22295,Italy,"Colle del Re Passito is a gorgeous, smooth and creamy wine with a beautiful bouquet of honeysuckle, candied orange, almond paste, apricot and butterscotch. It tastes fresh and silky and would make a great companion to dried biscuits or sponge cake.",Colle del Re Passito,93,33,Central Italy,Albana
33135,Italy,Albana di Romagna is a little-known white wine from central Italy that offers much of the same fresh appeal of more popular and commercial Italian whites like Pinot Grigio. This expression is bright and crisp with pear and stone fruit.,Vinchi,84,12,Central Italy,Albana
54065,Italy,"This is one of those delicious amber-colored desserts wines that will put a smile on your face. The nose is richly redolent of dried apricot, honey, bee's wax, yellow rose and toasted almond. The mouthfeel is satin-like with cheerful sweetness and bright acidity.",Domus Aurea Passito,91,35,Central Italy,Albana
54487,Italy,"Scaccomatto (“checkmate” in Italian) is an extraordinary synthesis between muffa nobile (botrytis) and the Albana grape native to Romagna, on the Adriatic flank of Italy. Aromas are immediate and intense and recall peach, honey, dried flowers and natural rubber. A silky, rich mouthfeel is backed by perfect sweetness and cooling acidity.",Scaccomatto Passito Botrytis,92,50,Central Italy,Albana
54489,Italy,"Honey, roasted chestnut, dried apricot, lychee syrup and passion fruit shape a beautiful sweet botrytis wine that would pair with desserts or aged cheeses. It is seamless and elegant in the mouth and offers accents of orange zest and marzipan.",D'Or Luce Sillaro,92,45,Central Italy,Albana
55689,Italy,"Arrocca is a deeply amber-colored wine with generous tones of honey, almond, apricot and even a distant touch of pecorino cheese rind that adds an interesting aromatic accent. The wine is cool and easy in the mouth with piquant citrus flavors, dried herbs and marzipan.",Arrocco Passito,90,26,Central Italy,Albana
56496,Italy,"There's a lot of fresh peach and honey here backed by notes of dried apricot, almond and brown sugar. This wine smells sweet and its thick, syrupy consistency makes it taste like pure honey. Any dessert pairing you attempt should involve honey-based treats.",Bianco Dolce,88,,Central Italy,Albana
95007,Italy,"The nice thing about this dessert wine is that you can recognize those distinctive musky notes that come from botrytis. This unique vineyard phenomenon only occurs in a handful of Italian vineyards and Fattoria Zerbina is lucky enough to have one. Aromas recall the fuzz on a peach: You get the fresh fruit but also the warm, organic tones from the skin. Its texture is thick and opulent and its finish is long lasting.",Scaccomatto,92,66,Central Italy,Albana
96181,Italy,"Romagna, in central Italy, has the soothing climate and warm sunshine to make delicate, harmonious passito wines that don't exaggerate in terms of sweetness. This light gold wine is composed without being withdrawn and delivers creamy apricot, sharp herbal qualities and natural rubber. It glides down smooth in the mouth and has very balanced acidity.",Arrocco Passito,90,48,Central Italy,Albana
98479,Italy,"The Albana varietal is usually made into dessert wine, but this interesting rendition is vinified dry. It opens with fragrant aromas of honey, peach and apricot. A touch of subtle sweetness marks the finish.",Vigna Rocca,87,14,Central Italy,Albana
99573,Italy,"Packed with intensity and elegance, this opens with fragrant tones of candied fruit, honey, dried flower and apricot. Its distinct aromatics recalls the botrytis that shapes the best wines of Albana di Romagna.",Casa Lola,92,21,Central Italy,Albana
101681,Italy,"This shows a pretty golden color with amber highlights, bearing aromas of candied fruit, honey, dried yellow rose and jasmine. It has deep layers of complexity on the palate that make this a perfect partner to aged sharp cheeses.",Passito,90,26,Central Italy,Albana
122817,Italy,"The nice thing about this dessert wine is that you can recognize those distinctive musky notes that come from botrytis. This unique vineyard phenomenon only occurs in a handful of Italian vineyards and Fattoria Zerbina is lucky enough to have one. Aromas recall the fuzz on a peach: You get the fresh fruit but also the warm, organic tones from the skin. Its texture is thick and opulent and its finish is long lasting.",Scaccomatto,92,66,Central Italy,Albana
123991,Italy,"Romagna, in central Italy, has the soothing climate and warm sunshine to make delicate, harmonious passito wines that don't exaggerate in terms of sweetness. This light gold wine is composed without being withdrawn and delivers creamy apricot, sharp herbal qualities and natural rubber. It glides down smooth in the mouth and has very balanced acidity.",Arrocco Passito,90,48,Central Italy,Albana
140141,Italy,"Nice nose, with clear aromas of bread dough, almond paste and pear. A bit brighter on the palate, where citrus and peach flavors are nice if not exactly imposing. Finishes with a hint of cream and banana.",Colle Del Re,85,8,Central Italy,Albana
