,country,description,designation,points,price,province,variety
144,US,"Clean, sharp and zesty fruit blossom aromas meet with ripe pomelo and green apple scents on the nose of this wine by Steve Dooley. A fresh, tingling acidity shows on the sip, which is a tad sour with stone fruit skins but bountiful in a slate-driven minerality and grippy texture. Cool climate Albariño has much promise in the state.",Jespersen Ranch,90,24,California,Albariño
147,Spain,"Aromas of white flowers, stone fruits and lees are typical of well-made Albariño. A juicy, elegant palate with a mix of citrus and stone-fruit flavors is lasting, with a hint of pithy character coming up on the finish.",,90,17,Galicia,Albariño
333,Spain,"Lightly leesy aromas of vanilla cookie are offset by crisp minerally apple and stone-fruit scents. This is pure and lifted by fine acidity, while flavors of apple, pineapple and lemon-lime end fresh, with a distant note of citrus pith. Drink immediately.",Etiqueta Ambar,91,22,Galicia,Albariño
376,US,"Not such a rarity these days, Albariño is turning heads in California and Oregon. This tart, juicy, and deliciously fresh effort is loaded with tangy citrus and green apple fruit. It's leesy and textural, tasting of wet stones: in sum, a wonderfully refreshing summer white.",,90,18,Oregon,Albariño
395,Spain,"Apple, lime and mineral aromas lend freshness to a mature nose. This feels round and plump, but well balanced due to fine acidity. Peach and citrus flavors are stony and finish with tropical notes of lychee and mango. Drink now.",Albariño de Fefiñanes,90,26,Galicia,Albariño
506,Spain,"Look for the blue bottle and you'll get a solid Albariño. This is typically light and fresh, with aromas of stream water, wild flowers, fresh herbs and leesy stone fruits. Crisp and citric on the palate, with proper cut, this tastes of orange, peach, nectarine and lemon. Minerally, cleansing and steady on the finish.",Val do Salnés,89,25,Galicia,Albariño
641,Spain,"Classic Albariño aromas of sea brine, tropical fruits, lees and dust precede a minerally lemony palate with tangy flavors of lemon, lime and gooseberry. This is a fresh clean example with a long stony citrusy finish.",Sin Palabras Castrovaldés,90,20,Galicia,Albariño
1966,Spain,"Apple, peach and melon aromas are fresh and easy to like. This has a pure palate, with citric and malic acidity offset by pulpy weight. Peach and apricot flavors finish long, and overall this should maintain its good shape over the next year.",,88,16,Galicia,Albariño
2235,US,"Bone dry and tart, this is made without oak, allowing the grape's natural acidity and flavors to star. There's a minerality to the lemons and limes, with hints of vanilla and white pepper. What a glorious partner for oysters on the half shell.",,90,20,California,Albariño
2650,Spain,"Dusty, melony aromas hint at the tropical end of the aromatic spectrum. This is predominantly austere in feel, with a touch of leesy weight. Lemon, pineapple and mango flavors end with general softness propped up acidic cut. Drink immediately.",Davila,89,18,Galicia,Albariño
2936,US,"It's hard to believe there's no oak on this wine, with its accents of vanilla and buttered toast. The wine was fermented in stainless steel and bottled earlywith no barrel exposure. It's beautifully rich in tropical fruit, pear, peach and lime flavors, with a brisk amount of acidity.",Don Miguel Vineyard Estate Grown & Bottled Unfiltered,90,32,California,Albariño
3024,Spain,"Bright, moderately complex aromas of stone fruits and minerals precede a firm, lemony palate with familiar, highly fresh tangerine and nectarine flavors. This holds its form and snap on the finish. Drink during 2016.",,89,17,Galicia,Albariño
3206,US,"Aromatic and quite fruity, this offers flavors of peach, candied lemon and orange marmalade. It's fully dry, but all that fruit gives it a roundness missing from steelier Spanish versions.",,88,21,Oregon,Albariño
3257,Spain,"Friendly familiar aromas of lees, seashell, lemon, melon and apple set up a shearing pointed palate. Flavors of lemon-lime, green apple and gooseberry are propelled by minerally acidity, while the finish is fresh and well cut.",,89,18,Galicia,Albariño
3417,Spain,"Mild, clean aromas of dusty apple, lees and peach set up a creamy, full palate with low acidity and moderate definition. Papaya and melon are the lead flavors, while the finish is melony and oily, with low acidity and not much, if any, minerality.",,87,20,Galicia,Albariño
3721,Spain,"Mild, clean aromas of dusty apple, lees and peach set up a creamy, full palate with low acidity and moderate definition. Papaya and melon are the lead flavors, while the finish is melony and oily, with low acidity and not much, if any, minerality.",,87,20,Galicia,Albariño
4648,Spain,"Apple and stone-fruit aromas are a little oily and starting to fade. Driving acidity keeps this in forward mode, but there's an empty gap in the middle of the palate. Waxy apple, apricot and orange flavors finish just juicy enough. Drink immediately.",Rosa Nautica,88,19,Galicia,Albariño
4671,Spain,"Aromas of orange peel and orange essence are oily and bring softer notes of melon, apple and tropical fruits. This is bright but basic on the tongue, with cutting acidity. Tropical flavors of green melon and mango are ratcheted by citric acidity, while the finish is citrusy and pithy.",,88,20,Galicia,Albariño
5293,Spain,"Aromas of canned peaches and children's vitamins lack appeal. This feels fleshy and far from precise, with a mix of oxidized white-fruit and bitter flavors that leads to a mealy finish.",,83,18,Galicia,Albariño
5779,US,"Fermented and aged in stainless steel without going through malolactic fermentation, this steely, waxy Albarino is ready for tapas, offering big bold tastes of peach and apricot. Textured and long-lasting, its tangible acidity will make seafood, especially shellfish, sing.",,88,18,California,Albariño
6000,Spain,"By nature Albariño doesn't last long, and this is well past its prime. Chunky, mealy, soft aromas announce a fleshy, low-pulse palate with mealy peach flavors and no finish.",,81,15,Galicia,Albariño
6235,Uruguay,"A good example of South American Albariño, this wine shows aromas of leesy buttercup, acacia, vanilla, grassy citrus and apple aromas on the nose. The energetic palate comes on strong with apricot and nectarine flavors which move to nutty and leesy tones on the finish.",,89,25,Montevideo,Albariño
6297,Spain,"A mild bouquet of generic stone-fruit aromas is a touch empty but friendly. This is mild on the palate, with modest acidity and not much minerally kick. Briny, leesy nectarine flavors finish round in feel. Drink immediately.",Andión,86,18,Galicia,Albariño
6468,Spain,"Peach and apple aromas are soft and easy, maybe even a touch cidery. Overall, this is a standard but well-made Albariño, with flavors of nectarine and cider. Drink immediately.",,88,17,Galicia,Albariño
6561,US,"Yellow summer melon and green apple make for a crisp, clean, bright and beautiful nose. The palate is peachy, with a citrus and cinnamon-apple flavored finish, walking the fine, fun line between brisk austerity and fruity richness.",Huerhuero,89,18,California,Albariño
6923,Spain,"Stalky aromas of straw and citrus are challenging but acceptable. On the palate, this is racy and feels like nectarine juice. Leesy, stalky peach flavors finish floral and yeasty, with lasting acidity. Drink immediately.",Legado del Fraile,86,15,Galicia,Albariño
7072,Spain,"Leesy, cheesy aromas fall apart as this struggles a bit to present a clean front side. Almost dilute in feel, this tastes of cidery apple, nectarine and lees. On the finish, a hint of popcorn rises up.",,87,25,Galicia,Albariño
7394,Spain,"A positive bouquet of melon, white flowers and honey leads to a ripped acidic palate that generates tangy, almost sharp flavors of orange and gooseberry. A citrusy angular finish turns pithy and bitter as it dissipates. Drink now.",,87,18,Galicia,Albariño
7670,US,"There's a seltzer quality to the nose of this wine, with aromas of pink-grapefruit spritz, apple and pear cider, and fresh baking soda. It's tight and grippy on the palate, with flavors of green-apple flesh and tangerine skin that linger into the finish.",,87,24,California,Albariño
7728,Spain,"Floral leesy aromas of chunky stone fruits and citrus come with a green note of lettuce leaf. This feels round and a touch oily, while briny mildly bitter flavors of citrus finish pithy.",Pazo Barrantes,87,20,Galicia,Albariño
7813,US,"There's a seltzer quality to the nose of this wine, with aromas of pink-grapefruit spritz, apple and pear cider, and fresh baking soda. It's tight and grippy on the palate, with flavors of green-apple flesh and tangerine skin that linger into the finish.",,87,24,California,Albariño
7901,Spain,"Aromas of lees and buttercup come with a hint of tropical fruit. This fading, Albariño is plump and generic in feel, without much cut or minerality. Melon, apple and pithy citrus flavors finish similarly, with mild bitterness.",,85,22,Galicia,Albariño
8183,Spain,"Modest white-fruit aromas share space on the nose with seashell and briny notes. This feels tight and moderate in depth. Flavors of lemon and tangerine are mild, while this loses some clarity on the finish.",,87,17,Galicia,Albariño
8268,Spain,"Fresh stony apple and citrus aromas are composed. Following that lead, this feels focused and fresh. Flavors of stone fruits, citrus fruits and white pepper finish crisp but not real long or deep.",,89,19,Galicia,Albariño
