,country,description,designation,points,price,province,variety
1567,Portugal,"The rich, fruity core of this 100% Alfrocheiro wine is given polish and weight from time spend in a barrel. The fruit at the heart is dense, showing hints of dark chocolate and spice flavors, supported by structured tannins. This wine is ready to be consumed now.",,92,32,Dão,Alfrocheiro
8322,Portugal,"Normally found in the Dão region further north, the Alfrocheiro in Alentejo produces a soft wine with light tannins and juicy acidity. Flavors of cherries and red plums give it a fruity aspect. It is warm, rich and ready to drink.",Terra d'Alter,87,14,Alentejano,Alfrocheiro
19406,Portugal,"The spice and juicy fruit give the wine its intense strawberry flavor. To balance its fruit, the tannins lend a firm background structure. The wine has just the right weight, and its soft aftertaste, it's ready to drink now.",Grande Escolha,89,38,Tejo,Alfrocheiro
24827,Portugal,"Powerful, concentrated wine, whose tannins fold well around the berry fruits, acidity and sweet plum juice flavors. It is solid and chunky, full of ripe flavors and bold acidity. Worth aging for 1–2 years.",Grand'Arte,90,13,Lisboa,Alfrocheiro
32251,Portugal,"More commonly found in the Dão region to the north, the Alfrocheiro grape seems to have found a good home in the sandy soils of Lagoalva de Cima. Rich, fruity and age worthy, this has dusty tannins and a texture that hints of mineral.",Grande Escolha,91,40,Tejo,Alfrocheiro
33866,Portugal,"The spice and juicy fruit give the wine its intense strawberry flavor. To balance its fruit, the tannins lend a firm background structure. The wine has just the right weight, and its soft aftertaste, it's ready to drink now.",Grande Escolha,89,38,Tejo,Alfrocheiro
44747,Portugal,"Powerful, concentrated wine, whose tannins fold well around the berry fruits, acidity and sweet plum juice flavors. It is solid and chunky, full of ripe flavors and bold acidity. Worth aging for 1–2 years.",Grand'Arte,90,13,Lisboa,Alfrocheiro
58344,Portugal,"Normally grown in the Dão region, this grape needs poor soil to flourish. On its own, it makes a powerfully fruity wine packed with red fruits and some flavors of dark chocolate. The acidity is intense, and needs another few months to settle down.",,85,11,Alentejano,Alfrocheiro
65054,Portugal,"There's plenty going on here, from the sweet tannins and strawberry flavors to the leathery, mature edge. The wine is so ripe, its structure keeping the generous fruit together, but allowing an almost opulent character to dominate.",,90,30,Dão,Alfrocheiro
76337,Portugal,"Powerful, concentrated wine, whose tannins fold well around the berry fruits, acidity and sweet plum juice flavors. It is solid and chunky, full of ripe flavors and bold acidity. Worth aging for 1–2 years.",Grand'Arte,90,13,Lisboa,Alfrocheiro
77966,Portugal,"The spice and juicy fruit give the wine its intense strawberry flavor. To balance its fruit, the tannins lend a firm background structure. The wine has just the right weight, and its soft aftertaste, it's ready to drink now.",Grande Escolha,89,38,Tejo,Alfrocheiro
81301,Portugal,"More commonly found in the Dão region to the north, the Alfrocheiro grape seems to have found a good home in the sandy soils of Lagoalva de Cima. Rich, fruity and age worthy, this has dusty tannins and a texture that hints of mineral.",Grande Escolha,91,40,Tejo,Alfrocheiro
104648,Portugal,"This wood-aged selection is soft and opulently smooth, with milk chocolate and black cherry flavors. It has some concentration, which is overlaid by its soft texture. Ready to drink.",,88,17,Alentejano,Alfrocheiro
109344,Portugal,"Normally grown in the Dão region, this grape needs poor soil to flourish. On its own, it makes a powerfully fruity wine packed with red fruits and some flavors of dark chocolate. The acidity is intense, and needs another few months to settle down.",,85,11,Alentejano,Alfrocheiro
110174,Portugal,"There's plenty going on here, from the sweet tannins and strawberry flavors to the leathery, mature edge. The wine is so ripe, its structure keeping the generous fruit together, but allowing an almost opulent character to dominate.",,90,30,Dão,Alfrocheiro
122627,Portugal,"Powerful, concentrated wine, whose tannins fold well around the berry fruits, acidity and sweet plum juice flavors. It is solid and chunky, full of ripe flavors and bold acidity. Worth aging for 1–2 years.",Grand'Arte,90,13,Lisboa,Alfrocheiro
133124,Portugal,"There's plenty going on here, from the sweet tannins and strawberry flavors to the leathery, mature edge. The wine is so ripe, its structure keeping the generous fruit together, but allowing an almost opulent character to dominate.",,90,30,Dão,Alfrocheiro
137064,Portugal,"Normally grown in the Dão region, this grape needs poor soil to flourish. On its own, it makes a powerfully fruity wine packed with red fruits and some flavors of dark chocolate. The acidity is intense, and needs another few months to settle down.",,85,11,Alentejano,Alfrocheiro
