,country,description,designation,points,price,province,variety
335,Portugal,"The top wine in the Rocim range is produced from selected Alicante Bouschet grapes. It is huge and powerful, perhaps too much in its concentration, richness and density. Dark and brooding, it is super everything and certainly needs to calm down. Drink from 2019.",Grande Rocim Reserva,91,130,Alentejano,Alicante Bouschet
995,Portugal,"This is a dry sparkling wine with tannins, spice and berry fruit, giving it a deep color. Not an apéritif wine, it's perfect for cutting through rich, oily foods. Drink now.",Plexus Tinto,85,7,Tejo,Alicante Bouschet
1760,US,"The fact that this variety is still in the ground in the county says something; the fact that's it's still in the confines of Pagani Ranch says even more. In this ode to generations gone by, the grower and winemaker find common ground in showcasing a big-bodied, black-purple expression of fig, plum and grippy leather that lands softly on the palate.",Pagani Ranch,90,36,California,Alicante Bouschet
2991,Portugal,"The red juiced Alicante Bouschet has produced a powerful and generous wine that's rich and full of southern sun as well as dark black fruits. It is concentrated and impressive with its ripe flavors. Foot-trodden in open fermenters, it is full and generous needing to age until 2017.",,89,15,Alentejano,Alicante Bouschet
3827,US,"This high-alcohol, full-bodied wine made from a grape variety known for its very dark juice, is definitely deep in color, generous and ripe in flavor, firm and tannic in texture but not at all harsh. It gushes with blackberry, boysenberry and cranberry flavors, coats the mouth with fine tannins and lingers on the finish.",,89,27,California,Alicante Bouschet
5238,Portugal,"An unusual bottling of 100% Alicante Bouschet, this big, bold wine shows primary red and blackberry tones supported by soft tannins. Drink now through 2019.",Aluado,89,15,Lisboa,Alicante Bouschet
12937,Portugal,"Dedicated to the producer's father, this 100% Alicante Bouschet is superbly ripe and rich without overwhelming. It has the dark black colors of the grape that are followed by full-bodied black fruit flavors and impressive spice and pepper flavors. The wine is still young, so wait to drink until 2018.",Júlio B. Bastos Grande Reserva,92,150,Alentejo,Alicante Bouschet
19087,Portugal,"A fine example of this sometimes tricky grape, this wine is structured with solid tannins and rich fruit. Wood aging has softened some of the structure, allowing a more rounded, rich aftertaste.",AB,90,35,Alentejano,Alicante Bouschet
20608,Portugal,"Hugely black in color, a big-hearted wine that tames the rustic Alicante Bouschet character to produce a densely tannic, spice and damson fruit driven wine. There is perhaps just a touch too much extraction, but there is no question about the force of the wine.",AB,88,40,Alentejano,Alicante Bouschet
24774,Portugal,"Almost black in color, this is a concentrated powerhouse of black plum, damsons and dark berry fruits. It is explosively rich and densely structured, with intense juicy fruit.",Grand'Arte,90,13,Lisboa,Alicante Bouschet
28115,Portugal,"The top wine in the Rocim range is produced from selected Alicante Bouschet grapes. It is huge and powerful, perhaps too much in its concentration, richness and density. Dark and brooding, it is super everything and certainly needs to calm down. Drink from 2019.",Grande Rocim Reserva,91,130,Alentejano,Alicante Bouschet
30561,Portugal,"The red juiced Alicante Bouschet has produced a powerful and generous wine that's rich and full of southern sun as well as dark black fruits. It is concentrated and impressive with its ripe flavors. Foot-trodden in open fermenters, it is full and generous needing to age until 2017.",,89,15,Alentejano,Alicante Bouschet
31923,Portugal,"Wines at 15.5% alcohol suggest too much of everything. This wine is no exception, with its heavily extracted character, bitter chocolate and wood perfumes. It should soften in 2–3 years, but will always be overweight.",São Miguel,84,18,Alentejano,Alicante Bouschet
39219,Portugal,"Firmly tannic, it's based entirely on the rich structure of Alicante Bouschet. It has an interplay of dark fruits, spicy wood-aging and acidity. They are combining well to give a well-structured wine that's ripe and juicy. Drink from 2017.",Premium,90,13,Tejo,Alicante Bouschet
43963,Portugal,"Classic, super juicy Alicante Bouschet flavors, ripe fruit, beetroot and ripe plums, laced with damson juice. It is soft, full-bodied, with some pepper from the alcohol.",Garrafeira,88,,Alentejano,Alicante Bouschet
44454,Portugal,"Almost black in color, this is a concentrated powerhouse of black plum, damsons and dark berry fruits. It is explosively rich and densely structured, with intense juicy fruit.",Grand'Arte,90,13,Lisboa,Alicante Bouschet
46653,Portugal,"Big black-colored wine, juicy, spiced with wood. The rich berry fruits are powered by sweetness and only just a hint of acidity. The tannins show themselves as a dry core at the end.",,87,10,Lisboa,Alicante Bouschet
50266,Portugal,"Firm layers of wood give a hard initial impression. There are hints of fruit under this plank-like character, but it will need some time to balance out, if at all.",Terra D'Alter,84,15,Alentejano,Alicante Bouschet
52601,Spain,"Opens with a nice mix of black fruit scents, primarily blackberry. The palate is juicy and healthy, with berry, plum, spice and herbal flavors. Fades smoothly for a $10 Garnacha, with controlled herbal accents. An honest wine for all-occasion drinking.",Altitud 1.100 Coupage Garnacha Tintorera,88,10,Central Spain,Alicante Bouschet
