,country,description,designation,points,price,province,variety
25446,Italy,Alicante imparts bright berry notes and sharp tones of white almond and bramble. Poggio al Tufo's expression is easy and fine with very nice berry brightness on the close. Pair it with pasta topped with melted mozzarella cheese.,Poggio al Tufo,87,24,Tuscany,Alicante
35047,Italy,"Alicante is making huge inroads in Tuscany. In the warm climate of central Italy this shows bright berry aromas, with touches of spice, leather, cola and menthol. The palate is bright, fresh and cleansing.",Querciolaia,89,27,Tuscany,Alicante
40738,Italy,"Based on Alicante, this wine shows bright acidity and a lean mouthfeel, accented by notes of berry, pink grapefruit and cranberry. A touch of sweet fruit marks the finish.",Acquagiusta,86,15,Tuscany,Alicante
41182,Italy,"Alicante is a variant of Grenache (used widely in France, Spain and California) that finds its home only in tiny pockets of Italy, including Maremma, Tuscany. This wine shows enormous spice with tones of scented candle and incense with blackberry and cherry.",Querciolaia,88,30,Tuscany,Alicante
47766,Italy,Alicante imparts bright berry notes and sharp tones of white almond and bramble. Poggio al Tufo's expression is easy and fine with very nice berry brightness on the close. Pair it with pasta topped with melted mozzarella cheese.,Poggio al Tufo,87,24,Tuscany,Alicante
79326,Italy,Alicante imparts bright berry notes and sharp tones of white almond and bramble. Poggio al Tufo's expression is easy and fine with very nice berry brightness on the close. Pair it with pasta topped with melted mozzarella cheese.,Poggio al Tufo,87,24,Tuscany,Alicante
84007,Italy,"Alicante is making huge inroads in Tuscany. In the warm climate of central Italy this shows bright berry aromas, with touches of spice, leather, cola and menthol. The palate is bright, fresh and cleansing.",Querciolaia,89,27,Tuscany,Alicante
98477,Italy,"Notes of dried eucalyptus leaf, sage, savory spice and wild berry give this Tuscan red a very unique aromatic profile. The spicy notes continue onto the palate, showing structure and length. Made from 100% Alicante Bouschet.",Poggio al Tufo,87,24,Tuscany,Alicante
99032,Italy,"Velvety aromas of ripe fruit, dried herb and cured meat give this Alicante a savory, spicy feel. The wine delivers medium body and intensity and would pair with meatloaf or white meat.",Poggio al Tufo,86,24,Tuscany,Alicante
125676,Italy,Alicante imparts bright berry notes and sharp tones of white almond and bramble. Poggio al Tufo's expression is easy and fine with very nice berry brightness on the close. Pair it with pasta topped with melted mozzarella cheese.,Poggio al Tufo,87,24,Tuscany,Alicante
