,country,description,designation,points,price,province,variety
277,Portugal,"Pure Alvarinho from the Monção region, it's rich, creamy and textured. Lined with great acidity, it also has intense apple, bitter orange and a strongly herbal element. While it's ready to drink, this complex wine will benefit by waiting until 2015.",Portal do Fidalgo,92,35,Vinho Verde,Alvarinho
1542,Portugal,"This pleasant, fruity wine has lemon-lime crispness. Hints of apricot flavor prove the Alvarinho grape is far from its northern Portuguese homeland. Drink now.",Senses,84,13,Alentejano,Alvarinho
2923,Portugal,"An elegant Alvarinho from the north of the Vinho Verde region. It has some wood aging, rounding out the acidity of the fruit and introducing a spiced orange and lime character, full-bodied and ripe. It could age until 2015, but is ready to drink.",,90,19,Vinho Verde,Alvarinho
6621,Portugal,"This is a delicious refreshing wine with great acidity coupled with ripe white and yellow fruits. The richness is cut by minerality, fragrant acidity and lemon curd. It is still young and will be better from 2016.",,88,21,Vinho Verde,Alvarinho
6819,Portugal,"This is a delicious refreshing wine with great acidity coupled with ripe white and yellow fruits. The richness is cut by minerality, fragrant acidity and lemon curd. It is still young and will be better from 2016.",,88,21,Vinho Verde,Alvarinho
6928,Portugal,"This is a creamy style of Alvarinho, rich with warm apricot and peach flavors. It has bright acidity to balance the fruit and offers a fresh-citrus aftertaste. The wine will be ready to drink by the end of 2015.",,86,,Tejo,Alvarinho
7398,Portugal,"A surprisingly fresh wine for an Alvarinho from the hot Alentejo. It shows crisp acidity, with lime and apricot flavors and a bright, crisp aftertaste.",Terra d'Alter,87,14,Alentejano,Alvarinho
10636,Portugal,"A tropical fruit flavored wine with yellow fruits, pineapple and mango. It is soft and very ripe although still showing some of the fresher acidity that should be in an Alvarinho wine. It's a long way from the cool north of Portugal.",Senses,84,13,Alentejano,Alvarinho
12731,Portugal,"Alvarinho is best from the far north of Vinho Verde, which is the source for this wine. It gives a full, rich, very ripe wine that's rounded and packed with yellow fruits and a tight mineral and lemon juice character. The wine also has youth on its side and could age for several more years. Drink from 2014.",,91,,Vinho Verde,Alvarinho
19673,Portugal,"Smooth, rounded wine with the weight of ripe yellow fruit behind its acidity and creamy character. There is a touch of pepper that gives a burst of spice. With the extra year in bottle, the wine is now ready to drink.",Via Latina,88,13,Vinho Verde,Alvarinho
20228,Portugal,"A crisp style of Alvarinho, packed with green fruits, apples and lemon along with richer pink grapefruit. There is an attractive tangy minerality as well, giving a satisfying full-in-the-mouth wine.",Quinta de Cidrô,90,,Duriense,Alvarinho
20445,Portugal,"A smooth and soft wine that shows some weight to its ripe apricot and lime flavors. It is rounded, with a slight apple-skin texture, and is ready to drink. Screwcap.",Cape Roca Fish,85,15,Minho,Alvarinho
20458,Portugal,"A soft and creamy wine. It has baked apple and perfume notes, with an attractive, crisp aftertaste. Made from Alvarinho grown in the northern subregion of Vinho Verde, this wine could age a few months.",Estreia Grande Escolha,85,13,Vinho Verde,Alvarinho
20637,Portugal,"It is unusual to find the northern Portuguese Alvarinho grape in the southern Alentejo—and it doesn't quite work. With the heat, the intense flavors of the grape are transmuted into flabbiness with only hints of acidity.",Senses,84,,Alentejano,Alvarinho
20920,Portugal,"With its lemon and peach flavors, this is a ripe wine. It still has plenty of acidity, but its main focus is on its smooth texture, just given a light edge by a fruit-skin bite.",,88,,Minho,Alvarinho
25745,Portugal,"Delicious fresh citrus flavored wine, bright as a button, lively and crisp. Made from Alvarinho, there is a creamy texture with a mineral element, finishing with green plums and banana flavors.",Quinta dos Loridos Branco,86,15,Lisboa,Alvarinho
28568,Portugal,"Named after the 13th-century house at the center of the estate, this is a rich, full-bodied wine. With citrus flavors at its heart, it also shows a texture that gives minerality from the granite soil, followed by juicy yellow fruits and finishing with intense acidity. Give this wine until mid-2015 to settle down.",Casa do Capitão-mor,90,18,Vinho Verde,Alvarinho
34191,Portugal,"This is a delicious refreshing wine with great acidity coupled with ripe white and yellow fruits. The richness is cut by minerality, fragrant acidity and lemon curd. It is still young and will be better from 2016.",,88,21,Vinho Verde,Alvarinho
34239,Portugal,"This is a delicious refreshing wine with great acidity coupled with ripe white and yellow fruits. The richness is cut by minerality, fragrant acidity and lemon curd. It is still young and will be better from 2016.",,88,21,Vinho Verde,Alvarinho
34853,Portugal,"A surprisingly fresh wine for an Alvarinho from the hot Alentejo. It shows crisp acidity, with lime and apricot flavors and a bright, crisp aftertaste.",Terra d'Alter,87,14,Alentejano,Alvarinho
35333,Portugal,"Smooth, rounded wine with the weight of ripe yellow fruit behind its acidity and creamy character. There is a touch of pepper that gives a burst of spice. With the extra year in bottle, the wine is now ready to drink.",Via Latina,88,13,Vinho Verde,Alvarinho
