,country,description,designation,points,price,province,variety
4421,Portugal,"With aromas of wood aging, this is a tropical fruit and spice flavored wine. It displays a strong sense of texture and freshness. It is already showing richness as well as a good sense of style. Drink from 2015.",Guadalupe Selection Branco,89,21,Alentejano,Antão Vaz
6622,Portugal,"This is a rich, very rich wine that is packed with tropical fruits, generous apricot and peach flavors and spice. It is full in the mouth, showing some pepper from the alcohol that spoils the otherwise fruity character. The aftertaste does introduce some freshness.",,88,24,Lisboa,Antão Vaz
6820,Portugal,"This is a rich, very rich wine that is packed with tropical fruits, generous apricot and peach flavors and spice. It is full in the mouth, showing some pepper from the alcohol that spoils the otherwise fruity character. The aftertaste does introduce some freshness.",,88,24,Lisboa,Antão Vaz
24712,Portugal,"Soft-textured wine, with an edge of minerality, this is deliciously rich, while presenting plenty of fresh acidity. It is ripe, full in the mouth, an explosion of white and yellow fruits, with a great burst of acidity.",Guadalupe Selection Branco,90,20,Alentejano,Antão Vaz
34192,Portugal,"This is a rich, very rich wine that is packed with tropical fruits, generous apricot and peach flavors and spice. It is full in the mouth, showing some pepper from the alcohol that spoils the otherwise fruity character. The aftertaste does introduce some freshness.",,88,24,Lisboa,Antão Vaz
34240,Portugal,"This is a rich, very rich wine that is packed with tropical fruits, generous apricot and peach flavors and spice. It is full in the mouth, showing some pepper from the alcohol that spoils the otherwise fruity character. The aftertaste does introduce some freshness.",,88,24,Lisboa,Antão Vaz
38247,Portugal,"Very rich, this is a smooth spicy wine, its fruit flavors dominated by mango and pineapple, finished with a more mineral texture. It is worth opening this wine an hour before drinking, or even decanting.",Parus Branco,91,30,Setubal,Antão Vaz
40756,Portugal,"This rich, spicy wine holds beautiful lemon fruit flavors that cut the natural ripeness. A tangy texture gains extra dimension from the wood aging. Drink now, but the wine will age well to 2015.",Parus,90,30,Península de Setúbal,Antão Vaz
44182,Portugal,"Soft-textured wine, with an edge of minerality, this is deliciously rich, while presenting plenty of fresh acidity. It is ripe, full in the mouth, an explosion of white and yellow fruits, with a great burst of acidity.",Guadalupe Selection Branco,90,20,Alentejano,Antão Vaz
47307,Portugal,"Bright and crisp, this fruity wine shows touches of peach and pear. Acidity creates a lively wine that still has a feeling of richness. Wait until 2015 for it to open up.",Pato Frio,86,,Alentejo,Antão Vaz
72386,Portugal,"Pato Frio—cold duck—suggests this a summer picnic wine. It certainly has the freshness and crisp elegance. But it also some weight, ripe apple and citrus fruits and a texture that suggests it could age a few months longer.",Pato Frio,87,13,Alentejo,Antão Vaz
82017,Portugal,"Very rich, this is a smooth spicy wine, its fruit flavors dominated by mango and pineapple, finished with a more mineral texture. It is worth opening this wine an hour before drinking, or even decanting.",Parus Branco,91,30,Setubal,Antão Vaz
85355,Portugal,"Considering its richness and alcohol, this wine has managed to retain a bright, fresh character. Along with its rich yellow fruit, there is a mineral, salty character that runs through the heart of the wine. It could be aged for 3-4 years.",Parus Branco,91,30,Setubal,Antão Vaz
122032,Portugal,"Soft-textured wine, with an edge of minerality, this is deliciously rich, while presenting plenty of fresh acidity. It is ripe, full in the mouth, an explosion of white and yellow fruits, with a great burst of acidity.",Guadalupe Selection Branco,90,20,Alentejano,Antão Vaz
130526,Portugal,"Antão Vaz is the Chardonnay of Portugal, and this wine shows all the right creaminess and smooth, opulent texture. It has weight of course, but also enough freshness, peaches vying with lime, leaving good acidity.",Antão Vaz da Peceguina,89,27,Alentejano,Antão Vaz
131129,Portugal,"Oily-textured wine, flavored with mango and peaches. It's so soft and unctuous that freshness seems to have been left behind. In its place is the ripest fruit giving an open texture and an opulent aftertaste.",Fitapreta Branco,89,15,Alentejano,Antão Vaz
