,country,description,designation,points,price,province,variety
1357,Portugal,"Initially this wine is smooth and creamy textured. As it opens up it shows a cool, crisp character, with white apple fruits and layers of spice from wood aging. It's an elegant wine, very balanced already, but likely to age for several years. Drink now and until 2020.",Quinta do Encontro Encontro I Branco,91,40,Bairrada,Arinto
1846,Portugal,"This is a soft and crisp wine that shows attractive, tangy orange flavor and has plenty of acidity to keep it as fresh as possible. Drink now.",Terra de Touros,84,12,Tejo,Arinto
2947,Portugal,"This is a wine that shows a more serious side to Vinho Verde. Bone dry, with a crisp and creamy texture, it has citrus, pineapple and red apple flavors. It could even age a few months, but is so drinkable now.",Dom Diogo,87,13,Vinho Verde,Arinto
3738,Portugal,"A Portuguese classic, this fresh and fruity wine comes from a small zone in the heart of the Lisboa region. It is citrus flavored with delicious lime and pear flavors, fine acidity and a bright, zesty aftertaste. Drink now.",Bucellas,87,12,Bucelas,Arinto
4956,Portugal,"As its name implies, the wine comes from chalky soil, giving this wine its mineral edge. The fruit is ripe and tropical in its generosity, full of yellow fruits, pineapple and mango. There is a fine floral aroma which, along with acidity, give the wine a bright aftertaste.",Quinto Elemento Reserva Chão Calcário,88,18,Tejo,Arinto
5464,Portugal,"Wood fermentation still allows the Arinto grape to retain its natural crispness. At the same time, it gives it a perfumed spicy character that enhances the juiciness of the wine and brings out the zesty texture. It's fruity, fresh and ready to drink.",Branco Barrica,88,28,Bairrada,Arinto
6431,Portugal,"Green plums and ripe apples bring out the best in Arinto's range of flavors. This is a soft wine, with light acidity that's well integrated into the rich fruitiness. Drink now.",Paxis Branco,85,8,Lisboa,Arinto
10397,Portugal,"A lemon flavored wine that's crisp and fruity. The texture is soft with fruit and fresh acidity dominant. With its refreshing aftertaste, the wine is ready to drink now.",,85,17,Tejo,Arinto
11251,Portugal,"A gentle light wine that seems diluted. It has only hints of fruit and acidity, all very easy and ripe to drink. The wine is ready.",Terra de Touros,83,8,Tejo,Arinto
14318,Portugal,"With its beautiful burst of lemon aromas, this is a really fresh wine, very crisp, very bright. The wine has a tangy texture that tingles with lively acidity. Screwcap.",,86,12,Tejo,Arinto
25783,Portugal,"Heavily toasted aromas promise strong wood flavors. The fruit, rich with pear flavors, balances that wood, although the wine does need a few months more integration.",Branco,86,18,Bairrada,Arinto
29197,Portugal,"A soft, gentle wine, this is clean and purely fruity. With ripe pear and apple flavors, it gets a tang of lemon acidity. It's already drinkable, but could age for several more months.",Arinto,86,14,Lisboa,Arinto
32553,Portugal,"As its name implies, the wine comes from chalky soil, giving this wine its mineral edge. The fruit is ripe and tropical in its generosity, full of yellow fruits, pineapple and mango. There is a fine floral aroma which, along with acidity, give the wine a bright aftertaste.",Quinto Elemento Reserva Chão Calcário,88,18,Tejo,Arinto
32578,Portugal,"Wood fermentation still allows the Arinto grape to retain its natural crispness. At the same time, it gives it a perfumed spicy character that enhances the juiciness of the wine and brings out the zesty texture. It's fruity, fresh and ready to drink.",Branco Barrica,88,28,Bairrada,Arinto
37460,Portugal,"A lemon flavored wine that's crisp and fruity. The texture is soft with fruit and fresh acidity dominant. With its refreshing aftertaste, the wine is ready to drink now.",,85,17,Tejo,Arinto
38320,Portugal,"While this is aged in barrel, the wood influence doesn't quite work for Arinto, which is a lively, fruity varietal. The result is a wine that is laden with toast and textured with vanilla, and it comes with an edge of bitter lemon. The wood will soften, but it will always be present.",Branco Barrica,87,19,Bairrada,Arinto
38342,Portugal,"A gentle light wine that seems diluted. It has only hints of fruit and acidity, all very easy and ripe to drink. The wine is ready.",Terra de Touros,83,8,Tejo,Arinto
40773,Portugal,"A subtly wooded and perfumed wine, its lemon and herb character underlined by toast and tart acidity. It has a fresh character, very tangy and bright.",Branco Arinto,88,20,Bairrada,Arinto
44078,Portugal,"With its beautiful burst of lemon aromas, this is a really fresh wine, very crisp, very bright. The wine has a tangy texture that tingles with lively acidity. Screwcap.",,86,12,Tejo,Arinto
