,country,description,designation,points,price,province,variety
3588,Greece,"Grapefruit, lemon and star anise aromas lead this refined but friendly wine. On the palate, lush, rounded flavors of melon and tropical fruit are supported by brisk acidity. Great combination with richer poultry or pork dishes.",,89,20,Santorini,Assyrtico
3814,Greece,"Grapefruit, lemon and star anise aromas lead this refined but friendly wine. On the palate, lush, rounded flavors of melon and tropical fruit are supported by brisk acidity. Great combination with richer poultry or pork dishes.",,89,20,Santorini,Assyrtico
4452,Greece,"White flowers and peach aromas start this fuller-bodied white from Santorini. Spice, lemon marmalade and honey flavors are backed by a brisk acidity and finish with a lightly nutty spin. Pair with heartier dishes like lamb or cream-based chicken.",Thalassitis,89,30,Santorini,Assyrtico
5260,Greece,"The Kallisti offers exotic pineapple and tropical fruit aromas leading to a soft, layered palate of roasted nuts, citrus and vanilla. For fans of wines with a softer touch and some oak, this will be a hit. Pair with chicken, cheeses, richer dishes.",Kallisti Reserve,87,33,Santorini,Assyrtico
5834,Greece,"Grapefruit and orange peel aromas are followed by a balance of white peach and lemon on the palate. Brisk but fuller-bodied, the wine has a viscous mouthfeel that finishes clean. This is a food-friendly wine to pair with fresh fish and poultry.",Areti,88,23,Pangeon,Assyrtico
6288,Greece,"On the nose, the wine offers soft floral aromas with a spin of lemon. On the palate, it's overall fresh and friendly, with citrus and tropical fruit flavors.",,86,13,Santorini,Assyrtico
7025,Greece,A nose of fresh citrus fruit and toasted vanilla is followed by flavors of exotic pineapple fruit and spice. Its rich mouthfeel is balanced by an undercurrent of mineral briskness. Pair with fattier fish or poultry.,by Gaia Wild Ferment,87,30,Santorini,Assyrtico
11328,Greece,"Zesty lemon, minerals and sea salt on the nose lead into fresh, balanced citrus fruit and spice on the palate. Bracing, but offering attractive fruit body, the wine has poise and food-driven panache. An excellent example of what the variety can do. Pair with grilled seafood and poultry.",Estate,91,35,Santorini,Assyrtico
11941,Greece,"Focused and fresh, this wine starts with aromas of snappy lemon and slate, followed by sea salt, tropical fruit and citrus on the palate. The acid-fruit interplay offers an expressive but lively choice for pairing with salads, ethnic cuisine and fruit dishes.",,90,25,Santorini,Assyrtico
15131,Greece,"Tastes like unripe strawberries doused in lemon juice—but in a good way. Slightly chalky mouthfeel, with a tart, acid-dominated finish that leaves the mouth perfectly fresh and clean, ready for the next bite of fresh sardines.",Canava,86,19,Santorini,Assyrtico
15146,Greece,"Peach, anise and citrus aromas set the stage for this light, tart wine whose flavors turn lemony and crisp. Really zingy on the finish.",,85,14,Santorini,Assyrtico
15149,Greece,"Not only is this 100% Assyrtiko, it's fermented and aged entirely in stainless steel, which completely preserves its biting acidity. It has some waxy, citrusy aromas and flavors, but they are secondary to the wine's dominating acids, which leave the mouth clean and tingling after each taste.",,85,15,Santorini,Assyrtico
17256,Greece,"Still one of the standards for a clean, crisp Assytriko. The Boutari offers citrus and minerals in the nose, and a clean, zippy snap of fresh fruit and sea salt on the palate. Light, elegant and delightful, and fantastic with fresh fish, fruit and salads.",,89,20,Santorini,Assyrtico
