,country,description,designation,points,price,province,variety
3435,Austria,"Cinnamon and pepper add interest to the ripe blueberry fruit on the nose of this wine. The palate has the same generous, spicy flavors, with enough freshness to provide tension. The tannins are ripe but firm, framing all the juicy, dark and brooding fruit with perfect counterpoint. This is refreshing and intriguing.",Beck Ink,91,,Weinland Österreich,Austrian Red Blend
5970,Austria,"Ripe blackberry notes dominate this wine's nose and palate. Their ripe, tart juiciness makes for an appetizing, fruit-driven palate. Smooth but pervaded by freshness, it's a vibrant, juicy blend full of refreshing, ripe fruit. Uncomplicated but delicious.",Burgenlandrot,90,15,Burgenland,Austrian Red Blend
10211,Austria,"A straightforward red, with ripe cherry flavor and lively freshness in a light, soft body. It's uncomplicated, but easy drinking.",Schellmann An der Südbahn,82,,Niederösterreich,Austrian Red Blend
13980,Austria,"This is a rich success. It has concentration, spice and juicy fruits as well as layered tannins, acidity and a dark, brooding structure. For aging over several years. Screwcap.",Wiener Trilogie,90,30,Vienna,Austrian Red Blend
14817,Austria,"A complex, concentrated wine. It shows richness as well as tense minerality, the ripe black berry flavors melding with firm tannins. Alte Reben is old vines,  impressive and designed for aging.",Alte Reben,93,35,Burgenland,Austrian Red Blend
15790,Austria,"This is a firm blend that brings out more the black currant flavor and tannic structure of the Cabernet, more so than the spice of Blaufränkisch. The wine has an austere edge, with a mineral character and a taut aftertaste. Screwcap.",,89,15,Burgenland,Austrian Red Blend
17776,Austria,"Tawny in color, this is a blend of Zweigelt and Blaufränkisch. It is rich with intense acidity and a fruity character. With its orange peel flavor, it is both sweet and very crisp. Screwcap.",Beerenauslese,87,17,Burgenland,Austrian Red Blend
18363,Austria,"A blend of Austrian red varieties, this is soft, light and fruity. It has flavors of red fruit and spice from wood aging. With its attractive acidity, this is ready to drink. Screwcap.",Red,85,17,Austria,Austrian Red Blend
23272,Austria,"A light-colored wine from the hot Thermenregion south of Vienna; a blend of Zweigelt and St. Laurent. It has a Pinot Noir-like softness, allied to fresh acidity and flavors of raspberries. For consumption now. Screw cap.",Schellmann An der Südbahn,88,,Thermenregion,Austrian Red Blend
23791,Austria,"A simple, soft, juicy red wine, full of ripe berry fruits. Delicious now; try it with barbecue. Juice and spice in a bottle. Screw cap.",Red,85,,Austria,Austrian Red Blend
