,country,description,designation,points,price,province,variety
132,US,"Meaty, smoky aromas and good, high-amplitude fruit flavors give a robust personality to this full-bodied, dry and firmly tannic wine. It will make a good pairing with pasta, roasted birds or grilled meat.",Cooper Ranch,90,26,California,Barbera
477,US,"This dull, rustic wine offers earth and anise flavors around a core of soft cherry fruit. Light bodied, its acidity is moderate and unobtrusive.",,86,28,California,Barbera
640,Italy,"Firm and full-bodied, this opens with aromas of mature plum, underbrush, baked earth, vanilla and exotic spice. The high-toned, chewy palate doles out ripe black cherry, raspberry jam, vanilla, mocha, white pepper and mint alongside polished tannins.",Sil Nizza,90,18,Piedmont,Barbera
651,Italy,"Aromas of mature dark-skinned fruit, scorched earth, exotic spice and a whiff of blue flower lead the way. The vibrant, savory palate doles out juicy black cherry, plum, ground pepper and anise set in a framework of racy acidity and softly polished tannins. Enjoy through 2018.",Bricco dei Merli,90,35,Piedmont,Barbera
830,US,"A winning combination of seductive, spicy aromas and generous, well-developed fruit flavors make this wine hard to resist. It is full-bodied, dry and quite full-flavored, but without overdoing anything, so it's well balanced.","Estate Grown, Produced and Bottled",90,26,California,Barbera
965,Italy,"Aromas of mature black-skinned fruit, blue flower and Oriental spice float out of the glass. The round, full-bodied palate offers dried black cherry, blackberry jam, licorice and pipe tobacco alongside chewy tannins.",Zio Nando,90,38,Piedmont,Barbera
1483,Italy,"Fresh and refined, this delightful, easy-drinking wine opens with scents of rose, woodland berry and a whiff of dark cooking spice. The vibrant, savory palate offers juicy red cherry, raspberry and white pepper alongside bright acidity and polished tannins. Drink through 2018.",,90,25,Piedmont,Barbera
1523,US,"This is a hearty version of a grape frequently made in a simpler, fresh style, showing roasted red berry, charcoal and mocha aromas on the nose. A deep cassis flavor permeates the palate, with beef char and black pepper accents that make for a compelling, rather lavish sip.",,92,38,California,Barbera
1824,Italy,"Aromas of toast, espresso, ripe berry and menthol lead the nose. The round, savory palate doles out juicy black cherry, blackberry, clove, chopped herb and game alongside chewy tannins. A coffee note closes the finish.",Bricco delle Olive,90,27,Piedmont,Barbera
1891,US,"Lightly aromatic, this suggests potpourri and raspberries. It's elegant, clean and fresh in feel, with tart acidity and a pleasing sense of purity to the apple and raspberry flavors.",Estate,87,28,Washington,Barbera
2023,US,"Smoky, earthy, black pepper aromas make this wine catchy at the first sniff, and then the flavors fill the mouth with similarly spicy, earthy suggestions. It is full-bodied, firm-textured and quite concentrated. Pour this with venison or smoked duck or another game dish if possible.",,90,18,California,Barbera
2377,US,"Whiffs of cedar and baking spices lead to ripe blackberry and boysenberry flavors in this well-balanced and easy to appreciate wine. The ample fruit flavors are hard to resist, and the supple, modestly tannic texture is just right.",Cooper & Karmere Vineyards,90,32,California,Barbera
2804,US,"This is not your parents' crisp and lean Barbera. Ripe, juicy and concentrated, it's so rich and opulent that it seems sweet. From the aromas through the lingeirng finish, it generously doles out raspberry syrup and blackberry jam notes, as well as a chocolaty accent from oak.",Reserve Estate,91,50,California,Barbera
2995,Italy,"Dark and dense, this opens with aromas of ripe plum, vanilla and exotic spice. The round, chewy palate offers ripe black cherry, blackberry, roasted coffee bean, licorice and clove alongside close-grained tannins.",Marun,89,,Piedmont,Barbera
3329,US,"This handsome, full-bodied wine has aromas of dark cherry and toasted oak, flavors like ripe plums and vanilla and a velvety mouthfeel due to good acidity and fine-grained tannins.",,89,25,California,Barbera
3817,US,Powerful fruit aromas and flavors send this full-bodied wine into the stratosphere of ripeness without interference from oak or too much acidity or any overtly tannic texture. It's all juicy and good in a high-octane style.,,89,30,California,Barbera
3823,US,"Intricate aromas and spicy, complex flavors make this medium-bodied wine an adventure to drink. It smells like cherries and cloves and wood smoke, tastes nicely ripe but dry, and has an appetizing, tannic grip in the texture.",,89,16,California,Barbera
3832,US,"This wine is tight and well-structured, emphasizing a good, gripping texture and firm tannins while tasty berry flavors lurk beneath. It's not something to sip at a party, but a gutsy dinner wine to pour with osso buco or mushroom risotto.",Monarch Mine Vineyard,89,25,California,Barbera
3895,Italy,"This offer aromas of plum jam, Oriental spice, underbrush and a whiff of blue flower. The lively, approachable palate doles out juicy black cherry, blackberry, white pepper and clove alongside vibrant acidity.",Fontanelle,89,20,Piedmont,Barbera
4099,Italy,"This offer aromas of plum jam, Oriental spice, underbrush and a whiff of blue flower. The lively, approachable palate doles out juicy black cherry, blackberry, white pepper and clove alongside vibrant acidity.",Fontanelle,89,20,Piedmont,Barbera
4104,Italy,"Mature berry, dark cooking spice and blue flower are some of the aromas that emerge on this firm red. On the palate, ground pepper, clove and licorice accent a black cherry core while brisk acidity provides the racy framework.",Aves,89,30,Piedmont,Barbera
4295,Italy,"Mature berry, dark cooking spice and blue flower are some of the aromas that emerge on this firm red. On the palate, ground pepper, clove and licorice accent a black cherry core while brisk acidity provides the racy framework.",Aves,89,30,Piedmont,Barbera
4306,Italy,"The nose isn't very expressive on this big, brawny wine but the chewy, full-bodied palate offers blackberry jam, raisin, licorice, chocolate and orange peel alongside smooth tannins. It still has enough fruit richness to carry off the hearty alcohol but drink sooner rather than later.",La Rossa,89,20,Piedmont,Barbera
4660,Italy,"Aromas of exotic spice, plum, violet and a whiff of chopped herb lead the nose. The firm palate delivers tart red cherry, espresso, anise, vanilla and coconut alongside brisk acidity and grainy tannins.",,88,24,Piedmont,Barbera
4662,Italy,"Aromas of plum, blackberry, violet and exotic spice jump out of the glass. The bright, polished palate offers black cherry, raspberry jam and black pepper alongside fresh acidity. It's made for immediate drinking pleasure so enjoy soon.",Vignota,88,33,Piedmont,Barbera
4895,US,"Wonderfully smooth and layered, this medium-bodied wine smells like fresh berries, tastes fruity and mildly spicy and feels silky in the mouth. The components are beautifully balanced, as fresh acidity lifts the fruitiness and mild tannins add a velvety touch.",Barbarian,90,38,California,Barbera
4972,Italy,"Fresh and savory, this opens with aromas of dark berry, ground cooking spice and whiff of chopped herb. The vibrant palate doles out juicy black cherry, clove, star anise and blood orange accompanied by racy acidity.",,88,20,Piedmont,Barbera
4973,Italy,"Spiced blueberry, ripe plum and tilled earth aromas lead the nose on this hearty wine. Made with no added sulfites, the big, chewy palate delivers juicy black cherry, ripe blackberry and licorice alongside the warmth of evident alcohol.",Cascina Gavelli,88,20,Piedmont,Barbera
5130,Italy,"Fresh and savory, this opens with aromas of dark berry, ground cooking spice and whiff of chopped herb. The vibrant palate doles out juicy black cherry, clove, star anise and blood orange accompanied by racy acidity.",,88,20,Piedmont,Barbera
5131,Italy,"Spiced blueberry, ripe plum and tilled earth aromas lead the nose on this hearty wine. Made with no added sulfites, the big, chewy palate delivers juicy black cherry, ripe blackberry and licorice alongside the warmth of evident alcohol.",Cascina Gavelli,88,20,Piedmont,Barbera
5141,Italy,"Fresh and full-bodied, this offers aromas of black-skinned fruit, underbrush and dark cooking spice. The firm palate offers dried black cherry, plum jam and black pepper alongside polished tannins and fresh acidity.",Lurei,88,24,Piedmont,Barbera
5157,Italy,"Plum, French oak, coffee, vanilla and Oriental spice aromas emerge in the glass. The concentrated palate offers mature black cherry, blackberry jam, vanilla and licorice alongside fine-grained tannins.",La Bricca,88,20,Piedmont,Barbera
5462,Italy,"Aromas of black raspberry, violet, baking spice and a whiff of game lead the nose. The chewy palate offers juicy sour cherry, ground pepper and licorice alongside racy acidity and round tannins. It's meant to be drunk young so enjoy soon.",Montebruna,88,23,Piedmont,Barbera
