,country,description,designation,points,price,province,variety
12064,Italy,"Here's an exciting dessert wine that opens with an intense fragrance of mint, thyme and berry. The concentrated palate offers ripe cherry, berry, mint and thyme flavors, with a hint of tangerine peel. The rich flavors are brightened by fresh acidity that leaves a clean rather than cloying finish.",,92,50,Central Italy,Aleatico
22715,Italy,"Pomele is a sweet red wine made from the Aleatico grape that could pair with salty and sweet foods. The wine offers bright tones of black cherry, blackberry and a touch of exotic spice.",Pomele 500ml,90,,Central Italy,Aleatico
24063,Italy,"Nanerone opens with an inky, black color and jammy aromas of strawberry jam, dried prune, raisin, blackberry pie and some light shadings of sweet Christmas spice. It drinks like maple syrup—it's sweet, thick and heavy in the mouth.",Nanerone 500 ml,83,35,Tuscany,Aleatico
30094,Italy,"Here's an exciting dessert wine that opens with an intense fragrance of mint, thyme and berry. The concentrated palate offers ripe cherry, berry, mint and thyme flavors, with a hint of tangerine peel. The rich flavors are brightened by fresh acidity that leaves a clean rather than cloying finish.",,92,50,Central Italy,Aleatico
40893,Italy,"Nanerone opens with an inky, black color and jammy aromas of strawberry jam, dried prune, raisin, blackberry pie and some light shadings of sweet Christmas spice. It drinks like maple syrup—it's sweet, thick and heavy in the mouth.",Nanerone 500 ml,83,35,Tuscany,Aleatico
62840,US,"Very sweet but clumsy, with a weird medicinal, Band-Aid smell. The sugary blackberry taste is one-dimensional.",Serres Ranch Late Harvest,80,30,California,Aleatico
101569,Italy,"This Aleatico made from sun-dried grapes is a perfect companion to chocolate-based desserts. It's a red, sweet wine from the Tuscan island of Elba with aromas of black cherry, jam, pomegranate and spice. It has structure and texture and boasts some mild tannins that can cut through chocolate's smooth creaminess.",,86,44,Tuscany,Aleatico
111125,Italy,"Not many U.S. wine drinkers will be familiar with red dessert wines made from the little-known Aleatico grape. The wines recall the characteristics of Port with rose petal, black cherry and a robust structure making them a perfect pairing partner to fudge cake or brownies. Very few dessert wines can stand up to chocolate as beautifully as Aleatico. Imported by Remy Cointreau USA.",Fattoria Aldobrandesca,87,35,Tuscany,Aleatico
117230,US,"Very sweet but clumsy, with a weird medicinal, Band-Aid smell. The sugary blackberry taste is one-dimensional.",Serres Ranch Late Harvest,80,30,California,Aleatico
118893,Italy,"Nanerone opens with an inky, black color and jammy aromas of strawberry jam, dried prune, raisin, blackberry pie and some light shadings of sweet Christmas spice. It drinks like maple syrup—it's sweet, thick and heavy in the mouth.",Nanerone 500 ml,83,35,Tuscany,Aleatico
140315,Italy,"Not many U.S. wine drinkers will be familiar with red dessert wines made from the little-known Aleatico grape. The wines recall the characteristics of Port with rose petal, black cherry and a robust structure making them a perfect pairing partner to fudge cake or brownies. Very few dessert wines can stand up to chocolate as beautifully as Aleatico. Imported by Remy Cointreau USA.",Fattoria Aldobrandesca,87,35,Tuscany,Aleatico
